from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
2324406,2324408,,,129700644,129694518,0
2324041,2324038,,,123729379,130669915,0
2324407,2324406,,,121351777,126870585,0
2324347,2324346,,,121352641,122482126,0
2324526,2324522,,,121359133,130680016,0
2323273,2323271,,,130681415,122490162,3
2323273,2323271,,,130681416,122490162,3
2323273,2323271,,,127513514,122490162,3
2323272,2323271,,,126874359,122490162,0
2323591,2323588,,,123735094,130679020,0
2323145,2323142,,,121361546,123117136,0
2323615,2323616,,,130673338,123117136,0
2324030,2324033,,,126881599,128981579,0
2323270,2323272,,,130684839,130686635,0
2324703,2324702,,,130684909,126884648,0
2323944,2323945,,,129700352,126884648,0
2324408,2324408,,,129695947,130681686,0
2323272,2323273,,,122490170,130681686,3
2324407,2324406,,,130673593,121351507,0
2324407,2324406,,,129684910,121351507,0
2324407,2324406,,,123120128,123120182,0
2324336,2324351,,,128964416,128967879,0
2324016,2324015,,,130683309,130670658,0
2323673,2323666,,,130684761,130677159,0
2324512,2324509,,,123742886,130677159,0
2323093,2323095,,,130683070,129708585,0
2323093,2323095,,,128200248,129708585,0
2324701,2324700,,,130697089,130685616,0
2324404,2324406,,,123737930,130670833,0
2324310,2324313,,,130682329,130677858,0
2324703,2324702,,,130685017,130696661,0
2323220,2323220,,,129711226,123123429,0
2323220,2323220,,,121361888,123123429,0
2323220,2323220,,,123131863,123123429,0
2324336,2324351,,,121351190,121352810,0
2324030,2324033,,,126881423,121358265,0
2323539,2323540,,,121357565,121352961,0
2324032,2324038,,,121355924,121352961,0
2324032,2324038,,,126871631,121352961,0
2324346,2324348,,,121351289,121352961,0
53929,2323742,,,123736249,121352961,0
2324746,2324745,,,128801242,128973748,0
2323268,2323267,,,128801242,128973748,0
2323199,2323198,,,126869815,128973748,3
2323453,2323450,,,123121603,121359406,0
53929,2323742,,,126873707,121352640,0
2323088,2323093,,,122493903,121354512,0
2324346,2324347,,,122199093,130667687,0
2324408,2324408,,,121352914,126527885,0
2323377,2323379,,,121354332,121363916,0
2323377,2323379,,,129695831,121363916,0
2324408,2324407,,,130681540,129703408,0
2323220,2323220,,,121362074,121356000,0
2324535,2324532,,,121354298,126518785,0
2323597,2323594,,,127503786,127993402,0
2323673,2323673,,,121351899,121353278,1
2323145,2323142,,,128960815,121361775,0
2323145,2323142,,,130673284,121361775,0
2323666,2323673,,,126524117,121361775,0
2323666,2323673,,,122483296,121361775,0
2323664,2323673,,,121359168,121361775,0
2323377,2323379,,,130683262,121363934,0
2323673,2323666,,,128973563,130676860,0
2323942,2323944,,,128980032,128980018,0
2323597,2323600,,,121351065,123734987,0
2324701,2324700,,,130697137,129698532,0
2324408,2324406,,,122488907,122202299,0
2323237,2323211,,,130678910,121362093,0
2323271,2323272,,,130686631,130678274,0
2324746,2324745,,,130680238,128974213,0
2323268,2323267,,,130680238,128974213,0
2323199,2323198,,,122488139,128974213,3
2323670,2323666,,,121359004,130676841,0
2324672,2324671,,,121359003,126869466,0
2324407,2324406,,,130671542,130669424,0
2324522,2324519,,,130679464,130669424,0
2323145,2323142,,,121361546,125685372,0
2324036,2324037,,,129684427,129699224,0
2323270,2323269,,,122488049,126519675,0
2323199,2323198,,,126522154,121351047,3
2323270,2323268,,,128974286,130680098,0
2324451,2324448,,,126527085,121364227,0
2324451,2324448,,,121353513,121364227,0
2324526,2324522,,,121359174,129693056,0
2324671,2324672,,,128006865,121359202,0
2324671,2324672,,,128974254,121359202,0
2323666,2323670,,,126883228,121359202,0
2324746,2324745,,,123119391,126530182,0
2323268,2323267,,,123119391,126530182,0
2323673,2323666,,,122487892,123131614,0
2323915,2323920,,,130675116,123734903,0
2323088,2323093,,,128004555,123129392,0
2323272,2323271,,,126532543,122489188,0
2323272,2323271,,,126872206,122489188,0
2323271,2323270,,,128206180,121354945,0
2323203,2323202,,,130684121,121354290,0
2323391,2323392,,,129712615,129702535,0
2323666,2323670,,,126523772,121358989,0
2324519,2324526,,,130682059,121358989,0
2324527,2324526,,,126536399,121358989,0
2324032,2324041,,,129699054,121352474,0
2324669,2324670,,,121359168,126870240,0
2323926,2323923,,,129695597,130678959,0
2324527,2324519,,,121358509,130674987,0
2324522,2324519,,,130679846,130669594,0
2324314,2324310,,,126225904,130682399,0
2324515,2324522,,,126538801,122485371,0
2323220,2323220,,,129717072,129699543,0
2324670,2324669,,,126870157,126878678,0
2323678,2323679,,,126870157,126878678,0
2324769,2324765,,,130674130,127998674,0
2323192,2323191,,,121360823,126881527,0
2323093,2323095,,,121354751,128984730,0
2323673,2323666,,,123733991,128986848,0
2324573,2324572,,,130690246,122206759,0
2323597,2323600,,,130675001,121355591,0
2324041,2324033,,,129683874,129683644,0
2323922,2323925,,,121355056,130682769,0
2324365,2324366,,,130687951,121356797,0
2324365,2324366,,,130687952,121356797,0
2323267,2323267,,,130679596,130684290,0
2324314,2324310,,,130678186,129695338,0
2324746,2324745,,,130680130,130681877,1
