route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
179,000186,88____:A73::8894508:8821006:8:904:20211210,Anvers-Central,1479,,6927,,1
179,000187,88____:A73::8894508:8821006:8:904:20210402,Anvers-Central,1479,,6928,,1
179,000186,88____:A73::8894508:8821006:8:1004:20211210,Anvers-Central,1480,,6929,,1
179,000187,88____:A73::8894508:8821006:8:1004:20210402,Anvers-Central,1480,,6930,,1
179,000186,88____:A73::8894508:8821006:8:1104:20211210,Anvers-Central,1481,,6931,,1
179,000187,88____:A73::8894508:8821006:8:1104:20210402,Anvers-Central,1481,,6932,,1
179,000186,88____:A73::8894508:8821006:8:1204:20211210,Anvers-Central,1482,,6933,,1
179,000187,88____:A73::8894508:8821006:8:1204:20210402,Anvers-Central,1482,,6934,,1
179,000188,88____:A73::8894508:8821006:8:1304:20211210,Anvers-Central,1483,,6935,,1
179,000189,88____:A73::8894508:8821006:8:1304:20211208,Anvers-Central,1483,,6936,,1
179,000190,88____:A73::8894508:8821006:8:1304:20210402,Anvers-Central,1483,,6937,,1
179,000191,88____:A73::8894508:8821006:8:1304:20210331,Anvers-Central,1483,,6938,,1
179,000186,88____:A73::8894508:8821006:8:1404:20211210,Anvers-Central,1484,,6939,,1
179,000187,88____:A73::8894508:8821006:8:1404:20210402,Anvers-Central,1484,,6940,,1
179,000186,88____:A73::8894508:8821006:8:1504:20211210,Anvers-Central,1485,,6941,,1
179,000187,88____:A73::8894508:8821006:8:1504:20210402,Anvers-Central,1485,,6942,,1
179,000186,88____:A73::8894508:8821006:8:1604:20211210,Anvers-Central,1486,,6943,,1
179,000187,88____:A73::8894508:8821006:8:1604:20210402,Anvers-Central,1486,,6944,,1
179,000186,88____:A73::8894508:8821006:8:1704:20211210,Anvers-Central,1487,,6945,,1
179,000187,88____:A73::8894508:8821006:8:1704:20210402,Anvers-Central,1487,,6946,,1
179,000186,88____:A73::8894508:8821006:8:1804:20211210,Anvers-Central,1488,,6947,,1
179,000187,88____:A73::8894508:8821006:8:1804:20210402,Anvers-Central,1488,,6948,,1
179,000186,88____:A73::8894508:8821006:8:1904:20211210,Anvers-Central,1489,,6949,,1
179,000187,88____:A73::8894508:8821006:8:1904:20210402,Anvers-Central,1489,,6950,,1
