stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
8891157,,BELLEM,,51.083909999999996,3.48737,,,0,S8891157,,Belgium
8891165,,HANSBEKE,,51.073209999999996,3.53621,,,0,S8891165,,Belgium
8891173,,ZEEBRUGGE-STRAND,,51.3305,3.184028,,,0,S8891173,,Belgium
8891264,,ZEDELGEM,,51.12705,3.164142,,,0,S8891264,,Belgium
8891314,,TORHOUT,,51.06471,3.10587,,,0,S8891314,,Belgium
8891405,,BLANKENBERGE,,51.31243,3.13386,,,0,S8891405,,Belgium
8891553,,ZEEBRUGGE-DORP,,51.32638,3.195171,,,0,S8891553,,Belgium
8891629,,LISSEWEGE,,51.294709999999995,3.19451,,,0,S8891629,,Belgium
8891645,,HEIST,,51.33398,3.239182,,,0,S8891645,,Belgium
8891652,,DUINBERGEN,,51.3382,3.263591,,,0,S8891652,,Belgium
8891660,,KNOKKE,,51.3399,3.28519,,,0,S8891660,,Belgium
8891702,,OSTENDE,,51.22821,2.92581,,,0,S8891702,,Belgium
8892007,,GAND-SAINT-PIERRE,,51.0359,3.710673,,,0,S8892007,,Belgium
8892031,,TRONCHIENNES,,51.047290000000004,3.655201,,,0,S8892031,,Belgium
8892056,,LANDEGEM,,51.06431,3.576856,,,0,S8892056,,Belgium
8892080,,DE PINTE,,50.99706,3.650467,,,0,S8892080,,Belgium
8892106,,DEINZE,,50.97826,3.534435,,,0,S8892106,,Belgium
8892205,,LICHTERVELDE,,51.02516,3.127209,,,0,S8892205,,Belgium
8892254,,TIELT,,50.990840000000006,3.33034,,,0,S8892254,,Belgium
8892288,,AARSELE,,50.98446,3.41836,,,0,S8892288,,Belgium
8892304,,FURNES,,51.07387,2.66994,,,0,S8892304,,Belgium
8892320,,COXYDE,,51.0792,2.652773,,,0,S8892320,,Belgium
8892338,,LA PANNE,,51.0774,2.601966,,,0,S8892338,,Belgium
