stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,country
stoparea:17949,dvnk,DE VINK,52.1472033554,4.45632733405,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17951,hnp,HINDELOOPEN,52.9464625417,5.42302966118,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17952,assp,AMSTERDAM SCIENCE PARK,52.352315169700006,4.95049953461,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17953,apdo,APELDOORN OSSEVELD,52.2158570972,6.006415486340001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17954,apdm,APELDOORN DE MATEN,52.2051476843,6.000638008119999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17955,eahs,AHAUS,52.081615,7.01669,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17956,sptn,SANTPOORT NOORD,52.4337391671,4.63278114796,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17957,sdt,SLIEDRECHT,51.8294757054,4.77819979191,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17958,rsw,RIJSWIJK,52.039392354600004,4.31972444057,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17960,sda,SCHEEMDA,53.165485097799994,6.97806179523,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17961,pt,PUTTEN,52.2652355454,5.575749278069999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17962,sptz,SANTPOORT ZUID,52.4197536249,4.631375670430001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17963,rsd,ROOSENDAAL,51.5403131107,4.459016919140001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17964,sdm,SCHIEDAM CENTRUM,51.921847605100005,4.40959990025,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17965,bonn,BONN HBF,50.732021,7.09708,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17967,mg,MANTGUM,53.1297114948,5.7133466005299995,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17968,ma,AUGSBURG HBF,48.365473,10.8856,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17969,mt,MAASTRICHT,50.8497439807,5.70544481277,1,,Europe/Amsterdam,0.0,,,Netherlands
