route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
30976.000011.107:12,000011,S12,S 12,,2,,FFEA00,000000
30977.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30977.000011.102:30977,000011,RE,RE 30977,,2,,,
30977.000011.103:30977,000011,RE,RE 30977,,2,,,
30977.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30977.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30978.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30978.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30978.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30978.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30978.000011.105:29,000011,S29,S 29,,2,,FFEA00,000000
30978.000011.106:30978,000011,RE,RE 30978,,2,,,
30978.000011.107:30978,000011,RE,RE 30978,,2,,,
30978.000011.108:9,000011,S9,S 9,,2,,FFEA00,000000
30978.000011.109:29,000011,S29,S 29,,2,,FFEA00,000000
30979.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30979.000011.102:30979,000011,RE,RE 30979,,2,,,
30979.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30979.000011.104:30979,000011,RE,RE 30979,,2,,,
30979.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30980.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30980.000011.102:30980,000011,RE,RE 30980,,2,,,
30980.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30980.000011.104:30980,000011,RE,RE 30980,,2,,,
30980.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30980.000011.106:11,000011,S11,S 11,,2,,FFEA00,000000
30981.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30981.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30981.000011.103:30981,000011,RE,RE 30981,,2,,,
30981.000011.104:30981,000011,RE,RE 30981,,2,,,
30981.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30981.000011.106:11,000011,S11,S 11,,2,,FFEA00,000000
30981.000011.107:9,000011,S9,S 9,,2,,FFEA00,000000
30982.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30982.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30982.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30982.000011.104:29,000011,S29,S 29,,2,,FFEA00,000000
30982.000011.105:30982,000011,RE,RE 30982,,2,,,
30982.000011.106:30982,000011,RE,RE 30982,,2,,,
30983.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30983.000011.102:30983,000011,RE,RE 30983,,2,,,
30983.000011.103:30983,000011,RE,RE 30983,,2,,,
30983.000011.104:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30983.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30984.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30984.000011.102:30984,000011,RE,RE 30984,,2,,,
30984.000011.103:30984,000011,RE,RE 30984,,2,,,
30984.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30984.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30985.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30985.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30985.000011.103:5,000011,S5,S 5,,2,,FFEA00,000000
30985.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30985.000011.105:30985,000011,RE,RE 30985,,2,,,
30985.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
