route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
75409,KEOLIS,502,Vorchten - Heerde - Wezep,,3,,,
75410,KEOLIS,503,Eerbeek - Brummen,,3,,,
75411,KEOLIS,504,Eerbeek - Hall - Tonden - Oeken - Zutphen,,3,,,
75412,KEOLIS,505,Wekerom - Overberg,,3,,,
75413,KEOLIS,506,Twello - De Maten - Klarenbeek (linksom),,3,,,
75414,KEOLIS,507,Twello - Wilp - Voorst Empe,,3,,,
75415,KEOLIS,508,Twello - Klarenbeek - De Maten (rechtsom),,3,,,
75416,KEOLIS,509,Barneveld - Leusden - Hoevelaken - Nijkerk,,3,,,
75417,KEOLIS,510,Oosterhuizen - Lieren - Apeldoorn,,3,,,
75418,KEOLIS,511,Scherpenzeel - De Glind - Barneveld,,3,,,
75420,KEOLIS,514,'t Harde - Elburg - Wezep,,3,,,
75421,KEOLIS,515,Zutphen - Brummen - Leuvenheim,,3,,,
75439,KEOLIS,620,Harderwijk - Putten - Amersfoort GdB,,3,,,
75443,KEOLIS,650,Wekerom - Harskamp - Apeldoorn JFC,,3,,,
75444,KEOLIS,651,Ede - Harskamp - Apeldoorn JFC / HB,,3,,,
75445,KEOLIS,652,Wekerom - Harskamp - Apeldoorn JFC,,3,,,
75446,KEOLIS,653,Heelsum - Ede - Apeldoorn JFC,,3,,,
75447,KEOLIS,654,Ermelo - Uddel - Apeldoorn JFC,,3,,,
75448,KEOLIS,657,Barneveld - KwBroek - Apeldoorn JFC,,3,,,
75449,KEOLIS,658,Nunspeet - Elspeet - Apeldoorn JFC,,3,,,
75450,KEOLIS,660,Lunteren - Harskamp -Apeldoorn JFC,,3,,,
75453,KEOLIS,674,Harderwijk - Putten - Amersfoort HB,,3,,,
75454,KEOLIS,676,Schooldienst Elspeet - Voorthuizen - Amersfoort HB,,3,,,
75455,KEOLIS,679,Schooldienst De Valk - KwBroek - Amersfoort HB,,3,,,
75456,KEOLIS,685,Nunspeet - Elburg - Kampen PZ,,3,,,
75405,KEOLIS,203,Apeldoorn - Heerde - Wapenveld - Zwolle,,3,,,
75471,KEOLIS,2,"Zwolle, Station - Holtenbroek",,3,,,
75404,KEOLIS,202,Apeldoorn - Vaassen - Heerde - Zwolle,,3,,,
75407,KEOLIS,205,Harderwijk - Putten - Voorthuizen - Barneveld,,3,,,
75472,KEOLIS,3,"Zwolle, Station - Hessenpoort",,3,,,
75465,KEOLIS,12,"Apeldoorn, Station - Apenheul",,3,,,
75467,KEOLIS,14,"Apeldoorn, Station - Kerschoten",,3,,,
75468,KEOLIS,15,"Apeldoorn, Station - Twello",,3,,,
75402,KEOLIS,200,Elburg - Oldebroek - Zwolle Oosterenk,,3,,,
75469,KEOLIS,16,"Apeldoorn, Station - Woudhuis",,3,,,
75466,KEOLIS,13,"Apeldoorn, Station - Kerschoten",,3,,,
75464,KEOLIS,11,"Apeldoorn, Station - Gelre Ziekenhuis",,3,,,
75451,KEOLIS,664,Lemelerveld - Zwolle,,3,,,
75452,KEOLIS,668,Zwolle - Herfte,,3,,,
75406,KEOLIS,204,Apeldoorn - Vaassen - Wapenveld - Zwolle,,3,,,
75419,KEOLIS,513,Harderwijk - Ermelo,,3,,,
75488,KEOLIS,C2,Apeldoorn - Beekbergen - Arnhem,,3,,,
75494,KEOLIS,231,Apeldoorn - De Maten - Arnhem,,3,,,
75481,KEOLIS,14,"Zwolle, Station - Ittersumerbroek via Schelle",,3,,,
75508,KEOLIS,6,Servicebus Ede (vaste ritten),,3,,,
75492,KEOLIS,108,Ede - Otterlo - Hoenderloo - Apeldoorn,,3,,,
75514,TWENTS,62,Borculo - Denekamp,,3,,,
