stop_id,stop_name,stop_lat,stop_lon,country
8029522,GERADSTETTEN,48.805203000000006,9.439753,Germany
8029523,WINTERBACH(B SCHORNDORF),48.798432,9.480994,Germany
8029524,WEILER(REMS),48.800301,9.501991,Germany
8029525,SCHORNDORF,48.80715,9.52631,Germany
8029572,NEUSTADT-HOHENACKER,48.859312,9.324715,Germany
8029573,SCHWAIKHEIM,48.86834,9.354942999999999,Germany
8029574,WINNENDEN,48.879583000000004,9.39229,Germany
8029575,NELLMERSBACH,48.903368,9.415401,Germany
8029576,MAUBACH,48.926132,9.419989999999999,Germany
8029577,BACKNANG,48.942676,9.425989,Germany
8029026,KORNWESTHEIM PBF,48.862219,9.179964,Germany
8029590,FAVORITEPARK,48.909209000000004,9.180233,Germany
8029591,FREIBERG (NECKAR),48.930107,9.197796,Germany
8029592,BENNINGEN (NECKAR),48.943614000000004,9.244504,Germany
8029593,MARBACH (NECKAR),48.943684999999995,9.264452,Germany
8029594,ERDMANNHAUSEN,48.948229,9.299405,Germany
8029595,KIRCHBERG (MURR),48.939161,9.329056,Germany
8029596,BURGSTALL(MURR),48.928647,9.369932,Germany
8029016,ASPERG,48.907359,9.147797,Germany
8029015,TAMM(WURTT),48.921605,9.125828,Germany
8029014,BIETIGHEIM-BISSINGEN,48.947933,9.137557000000001,Germany
8029447,MALMSHEIM,48.771755,8.904505,Germany
8029448,WEIL DER STADT,48.755483,8.872806,Germany
8039279,FREIBURG (D) KLINIKUM,48.005562,7.842755,Germany
8014354,FREIBURG (D) WEST,48.0288,7.810860000000001,Germany
8014357,HUGSTETTEN,48.048246999999996,7.783929,Germany
8014358,GOTTENHEIM,48.051653,7.727832,Germany
8047813,BOTZINGEN,48.070174,7.721616,Germany
8047814,BOTZINGEN MUHLE,48.075552,7.727931,Germany
8047812,EICHSTETTEN,48.092901,7.7480210000000005,Germany
8047811,NIMBURG(BADEN),48.105740000000004,7.760274000000001,Germany
8047842,BAHLINGEN-RIEDLEN,48.118019,7.747775999999999,Germany
8047810,BAHLINGEN AM KAISERSTUHL,48.124494,7.741516000000001,Germany
8047801,RIEGEL AM KAISERSTUHL ORT,48.154055,7.749942999999999,Germany
8047802,ENDINGEN (BADEN),48.14425,7.701917999999999,Germany
8014361,BREISACH,48.026918,7.58935,Germany
8014360,IHRINGEN (D),48.040409999999994,7.648777000000001,Germany
8014359,WASENWEILER,48.046587,7.686813000000001,Germany
8014703,FREIBURG (D) MESSE/UNIVERSITAT,48.012918,7.832667999999999,Germany
8014364,FREIBURG (D) WIEHRE,47.982413,7.854127,Germany
8014365,FREIBURG (D) LITTENWEILER,47.981671999999996,7.895133,Germany
8014367,KIRCHZARTEN,47.967936,7.959132,Germany
8014368,HIMMELREICH,47.958616,7.991356,Germany
8014372,HINTERZARTEN,47.906278,8.106033,Germany
8014373,TITISEE,47.903402,8.155069000000001,Germany
8014384,NEUSTADT (SCHWARZW),47.910198,8.210883,Germany
8014380,SEEBRUGG,47.803515999999995,8.191115,Germany
8014379,SCHLUCHSEE,47.816868,8.177126,Germany
8014378,AHA,47.833224,8.134349,Germany
8014377,ALTGLASHUTTEN-FALKAU,47.859392,8.114113,Germany
8014376,FELDBERG-BARENTAL,47.871444,8.098294000000001,Germany
8014393,ROTENBACH (BADEN),47.89283,8.290057000000001,Germany
8014394,LOFFINGEN,47.883434,8.3418,Germany
8014396,BACHHEIM,47.862072,8.399399,Germany
8014397,UNADINGEN,47.881166,8.397886,Germany
8014398,DOGGINGEN,47.893654,8.441107,Germany
8014400,HUFINGEN-MITTE,47.928963,8.490065,Germany
