,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
550,8821238,,MORTSEL-OUDE GOD,,51.17125,4.455737,,,0,S8821238,,Belgium
554,8821246,,MORTSEL-LIERSESTEENWEG,,51.16903,4.468841,,,0,S8821246,,Belgium
561,8821311,,KONTICH-LINT,,51.134029999999996,4.476358,,,0,S8821311,,Belgium
567,8821337,,HOVE,,51.15412,4.465158,,,0,S8821337,,Belgium
571,8821402,,ESSEN,,51.462759999999996,4.451318,,,0,S8821402,,Belgium
575,8821436,,WILDERT,,51.428090000000005,4.463349,,,0,S8821436,,Belgium
579,8821444,,KALMTHOUT,,51.39117,4.466825,,,0,S8821444,,Belgium
583,8821451,,KIJKUIT,,51.378659999999996,4.467318,,,0,S8821451,,Belgium
587,8821519,,HEIDE,,51.36462,4.460482,,,0,S8821519,,Belgium
592,8821535,,KAPELLEN,,51.31353,4.432662,,,0,S8821535,,Belgium
596,8821543,,SINT-MARIABURG,,51.29165,4.434902,,,0,S8821543,,Belgium
603,8821600,,LIERRE,,51.13576,4.560611,,,0,S8821600,,Belgium
607,8821634,,BOECHOUT,,51.16348,4.494487,,,0,S8821634,,Belgium
611,8821659,,KESSEL,,51.15106,4.61846,,,0,S8821659,,Belgium
615,8821667,,NIJLEN,,51.15984,4.666589,,,0,S8821667,,Belgium
619,8821709,,WOLFSTEE,,51.16836,4.786148,,,0,S8821709,,Belgium
626,8821717,,HERENTALS,,51.181509999999996,4.82954,,,0,S8821717,,Belgium
630,8821725,,BOUWEL,,51.16576,4.746515,,,0,S8821725,,Belgium
634,8821816,,BERLAAR,,51.113659999999996,4.638808,,,0,S8821816,,Belgium
638,8821824,,MELKOUWEN,,51.09494,4.671533,,,0,S8821824,,Belgium
643,8821832,,HEIST-OP-DEN-BERG,,51.07415,4.708231,,,0,S8821832,,Belgium
647,8821857,,BOOISCHOT,,51.03734,4.773481,,,0,S8821857,,Belgium
651,8821865,,BEGIJNENDIJK,,51.02197,4.80034,,,0,S8821865,,Belgium
655,8821907,,TURNHOUT,,51.32203,4.937413,,,0,S8821907,,Belgium
659,8821964,,TIELEN,,51.24102,4.89309,,,0,S8821964,,Belgium
670,8822004,,MALINES,,51.01765,4.482785,,,0,S8822004,,Belgium
674,8822053,,KAPELLE-OP-DEN-BOS,,51.01084,4.359118,,,0,S8822053,,Belgium
679,8822111,,LONDERZEEL,,51.00909,4.299069,,,0,S8822111,,Belgium
683,8822137,,MALDEREN,,51.01449,4.22911,,,0,S8822137,,Belgium
687,8822145,,BUGGENHOUT,,51.016290000000005,4.201663,,,0,S8822145,,Belgium
691,8822160,,BAASRODE-ZUID,,51.01944,4.153496,,,0,S8822160,,Belgium
697,8822210,,DUFFEL,,51.09124,4.493184,,,0,S8822210,,Belgium
703,8822228,,SINT-KATELIJNE-WAVER,,51.06998,4.496119,,,0,S8822228,,Belgium
709,8822251,,WEERDE,,50.97745,4.470935,,,0,S8822251,,Belgium
715,8822269,,EPPEGEM,,50.9584,4.45749,,,0,S8822269,,Belgium
719,8822277,,HOFSTADE,,50.988659999999996,4.49834,,,0,S8822277,,Belgium
726,8822343,,MALINES-NEKKERSPOEL,,51.02988,4.489917,,,0,S8822343,,Belgium
732,8822426,,MUIZEN,,51.0082,4.51384,,,0,S8822426,,Belgium
736,8822459,,HEVER,,50.99779,4.537634,,,0,S8822459,,Belgium
740,8822475,,BOORTMEERBEEK,,50.98185,4.5739,,,0,S8822475,,Belgium
744,8822517,,HAACHT,,50.966429999999995,4.613306,,,0,S8822517,,Belgium
748,8822525,,WESPELAAR-TILDONK,,50.95855,4.638014,,,0,S8822525,,Belgium
752,8822533,,HAMBOS,,50.94425,4.66301,,,0,S8822533,,Belgium
756,8822608,,WILLEBROEK,,51.06635,4.35602,,,0,S8822608,,Belgium
761,8822715,,PUURS,,51.077220000000004,4.282701,,,0,S8822715,,Belgium
764,8822772,,BORNEM,,51.09923,4.24053,,,0,S8822772,,Belgium
768,8822814,,BOOM,,51.090709999999994,4.360698,,,0,S8822814,,Belgium
771,8822848,,RUISBROEK-SAUVEGARDE,,51.08103,4.325001,,,0,S8822848,,Belgium
775,8824158,,HOBOKEN-POLDER,,51.1827,4.347787,,,0,S8824158,,Belgium
779,8824224,,HEMIKSEM,,51.13625,4.338294,,,0,S8824224,,Belgium
783,8824232,,SCHELLE,,51.12551,4.340261,,,0,S8824232,,Belgium
787,8824240,,NIEL,,51.1116,4.338591,,,0,S8824240,,Belgium
788,8829009,,ESSEN-GRENS,,51.46909,4.44893,,,0,,,Belgium
799,8831005,,HASSELT,,50.930820000000004,5.327631,,,0,S8831005,,Belgium
803,8831039,,ALKEN,,50.886829999999996,5.292867,,,0,S8831039,,Belgium
807,8831088,,SCHULEN,,50.96376,5.187405,,,0,S8831088,,Belgium
811,8831112,,DIEPENBEEK,,50.91045,5.419946,,,0,S8831112,,Belgium
815,8831138,,BILZEN,,50.86864,5.50938,,,0,S8831138,,Belgium
822,8831310,,TONGRES,,50.7844,5.47328,,,0,S8831310,,Belgium
827,8831401,,DIEST,,50.99334,5.05003,,,0,S8831401,,Belgium
832,8831765,,GENK,,50.96706,5.497683,,,0,S8831765,,Belgium
836,8831781,,BOKRIJK,,50.95581,5.408383,,,0,S8831781,,Belgium
840,8831807,,SAINT-TROND,,50.81762,5.17665,,,0,S8831807,,Belgium
843,8832003,,BOURG-LEOPOLD,,51.117309999999996,5.25729,,,0,S8832003,,Belgium
846,8832045,,BALEN,,51.1691,5.164985,,,0,S8832045,,Belgium
849,8832227,,BEVERLO,,51.087720000000004,5.234375,,,0,S8832227,,Belgium
853,8832235,,BERINGEN,,51.0506,5.23589,,,0,S8832235,,Belgium
857,8832243,,HEUSDEN,,51.0382,5.281786,,,0,S8832243,,Belgium
860,8832250,,ZOLDER,,51.03352,5.330274,,,0,S8832250,,Belgium
863,8832334,,ZONHOVEN,,50.98956,5.348813,,,0,S8832334,,Belgium
867,8832375,,KIEWIT,,50.95485,5.350226,,,0,S8832375,,Belgium
872,8832409,,MOL,,51.19105,5.116333,,,0,S8832409,,Belgium
876,8832433,,GEEL,,51.16896,4.988611,,,0,S8832433,,Belgium
880,8832458,,OLEN,,51.17403,4.9025,,,0,S8832458,,Belgium
883,8832565,,LOMMEL,,51.21156,5.312032,,,0,S8832565,,Belgium
886,8832573,,OVERPELT,,51.21562,5.422756,,,0,S8832573,,Belgium
891,8832615,,NEERPELT,,51.22237,5.43717,,,0,S8832615,,Belgium
894,8832664,,HAMONT,,51.24642,5.543276,,,0,S8832664,,Belgium
909,8833001,,LOUVAIN,,50.88228,4.715868,,,0,S8833001,,Belgium
913,8833050,,VERTRIJK,,50.83628,4.83552,,,0,S8833050,,Belgium
917,8833126,,HEVERLEE,,50.86253,4.695201,,,0,S8833126,,Belgium
921,8833134,,OUD-HEVERLEE,,50.83593,4.65331,,,0,S8833134,,Belgium
926,8833159,,SINT-JORIS-WEERT,,50.80063,4.651728,,,0,S8833159,,Belgium
930,8833175,,WIJGMAAL,,50.922740000000005,4.701478,,,0,S8833175,,Belgium
937,8833209,,AARSCHOT,,50.98441,4.82404,,,0,S8833209,,Belgium
